date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,829,829,0
17/1/2021,1751,1751,0
18/1/2021,2805,2805,0
19/1/2021,2805,2805,0
20/1/2021,3023,3023,0
21/1/2021,4682,4682,0
22/1/2021,5956,5956,0
23/1/2021,6511,6511,0
24/1/2021,6511,6511,0
25/1/2021,7307,7307,0
26/1/2021,7307,7307,0
27/1/2021,7307,7307,0
28/1/2021,8656,8656,0
29/1/2021,9265,9265,0
30/1/2021,9651,9651,0
31/1/2021,9651,9651,0
1/2/2021,9791,9791,0
2/2/2021,9791,9791,0
3/2/2021,9846,9846,0
4/2/2021,10889,10889,0
5/2/2021,11834,11834,0
6/2/2021,12346,12346,0
7/2/2021,12346,12346,0
8/2/2021,13479,13479,0
9/2/2021,13480,13480,0
10/2/2021,13480,13480,0
11/2/2021,14322,14322,0
12/2/2021,15098,15098,0
13/2/2021,16094,15633,461
14/2/2021,16094,15633,461
15/2/2021,18187,16613,1574
16/2/2021,18187,16613,1574
17/2/2021,18187,16613,1574
18/2/2021,21300,18359,2941
19/2/2021,23559,19608,3951
20/2/2021,23743,19702,4041
21/2/2021,23743,19702,4041
22/2/2021,26650,21318,5332
23/2/2021,27916,22419,5497
24/2/2021,27930,22433,5497
25/2/2021,30524,24193,6331
26/2/2021,32120,25379,6741
27/2/2021,32120,25379,6741
28/2/2021,32120,25379,6741
1/3/2021,34881,27572,7309
2/3/2021,37031,29580,7451
3/3/2021,37162,29711,7451
4/3/2021,40830,32733,8097
5/3/2021,43918,34966,8952
6/3/2021,45667,36210,9457
7/3/2021,45667,36210,9457
8/3/2021,48474,38211,10263
9/3/2021,50384,39733,10651
10/3/2021,50384,39733,10651
11/3/2021,53386,42096,11290
12/3/2021,55709,43894,11815
13/3/2021,57056,44808,12248
14/3/2021,57056,44808,12248
15/3/2021,60320,47306,13014
16/3/2021,62168,48684,13484
17/3/2021,62168,48684,13484
18/3/2021,65786,51214,14572
19/3/2021,68198,52721,15477
20/3/2021,69919,54050,15869
21/3/2021,69919,54050,15869
22/3/2021,73426,56605,16821
23/3/2021,75474,58099,17375
24/3/2021,75593,58119,17474
25/3/2021,78893,60663,18230
26/3/2021,81533,62551,18982
27/3/2021,83450,64272,19178
28/3/2021,83450,64272,19178
29/3/2021,83808,64618,19190
30/3/2021,85889,65951,19938
31/3/2021,85889,65951,19938
1/4/2021,93159,71504,21655
2/4/2021,100226,77143,23083
3/4/2021,104436,80367,24069
4/4/2021,106266,81893,24373
5/4/2021,107592,83411,24181
6/4/2021,112266,86864,25402
7/4/2021,114031,88250,25781
8/4/2021,120397,93105,27292
9/4/2021,126477,97952,28525
10/4/2021,131304,101758,29546
11/4/2021,135099,105089,30010
12/4/2021,144244,112658,31586
13/4/2021,151893,118869,33024
14/4/2021,158211,124509,33702
15/4/2021,161283,127072,34211
16/4/2021,166715,130828,35887
17/4/2021,170942,134090,36852
18/4/2021,172669,135397,37272
19/4/2021,180287,140794,39493
20/4/2021,186071,145144,40927
21/4/2021,190500,148714,41786
22/4/2021,197578,154057,43521
23/4/2021,204542,159197,45345
24/4/2021,209180,162665,46515
25/4/2021,210345,163544,46801
26/4/2021,216946,168237,48709
27/4/2021,222159,172237,49922
28/4/2021,227858,176893,50965
29/4/2021,234727,182172,52555
30/4/2021,241483,187159,54324
1/5/2021,245633,189935,55698
2/5/2021,246582,190516,56066
3/5/2021,252285,193635,58650
