date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,426,426,0
17/1/2021,426,426,0
18/1/2021,426,426,0
19/1/2021,426,426,0
20/1/2021,426,426,0
21/1/2021,426,426,0
22/1/2021,946,946,0
23/1/2021,1561,1561,0
24/1/2021,1561,1561,0
25/1/2021,1796,1796,0
26/1/2021,1796,1796,0
27/1/2021,2311,2311,0
28/1/2021,2882,2882,0
29/1/2021,3391,3391,0
30/1/2021,4117,4117,0
31/1/2021,4117,4117,0
1/2/2021,4509,4509,0
2/2/2021,5422,5422,0
3/2/2021,6326,6326,0
4/2/2021,7193,7193,0
5/2/2021,7939,7939,0
6/2/2021,8257,8257,0
7/2/2021,8257,8257,0
8/2/2021,8352,8352,0
9/2/2021,8929,8929,0
10/2/2021,9961,9961,0
11/2/2021,11391,11391,0
12/2/2021,12949,12949,0
13/2/2021,13683,13166,517
14/2/2021,13683,13166,517
15/2/2021,13683,13166,517
16/2/2021,13501,13147,354
17/2/2021,14046,13692,354
18/2/2021,14218,13862,356
19/2/2021,15020,14386,634
20/2/2021,16183,15070,1113
21/2/2021,16183,15070,1113
22/2/2021,16811,15542,1269
23/2/2021,17084,15804,1280
24/2/2021,18300,16741,1559
25/2/2021,19793,17875,1918
26/2/2021,20794,18722,2072
27/2/2021,20794,18722,2072
28/2/2021,20794,18722,2072
1/3/2021,22943,20622,2321
2/3/2021,26408,23200,3208
3/3/2021,30501,26530,3971
4/3/2021,35482,30473,5009
5/3/2021,39766,33856,5910
6/3/2021,43051,36733,6318
7/3/2021,43058,36740,6318
8/3/2021,46801,40162,6639
9/3/2021,50409,43354,7055
10/3/2021,54615,46796,7819
11/3/2021,56843,48076,8767
12/3/2021,62173,52051,10122
13/3/2021,66143,55691,10452
14/3/2021,66143,55691,10452
15/3/2021,71794,60779,11015
16/3/2021,77336,65941,11395
17/3/2021,80576,68755,11821
18/3/2021,83096,71086,12010
19/3/2021,86384,73840,12544
20/3/2021,89508,76489,13019
21/3/2021,89508,76489,13019
22/3/2021,92961,79363,13598
23/3/2021,95834,81950,13884
24/3/2021,99012,84491,14521
25/3/2021,101947,86915,15032
26/3/2021,105072,89353,15719
27/3/2021,107720,91828,15892
28/3/2021,107720,91828,15892
29/3/2021,108602,92572,16030
30/3/2021,112654,95243,17411
31/3/2021,115750,97320,18430
1/4/2021,120405,100899,19506
2/4/2021,130175,109280,20895
3/4/2021,133818,112067,21751
4/4/2021,136166,114143,22023
5/4/2021,141025,117638,23387
6/4/2021,145788,121132,24656
7/4/2021,150177,124443,25734
8/4/2021,155376,128428,26948
9/4/2021,162064,133271,28793
10/4/2021,171132,140447,30685
11/4/2021,178390,147239,31151
12/4/2021,188088,154531,33557
13/4/2021,192556,158199,34357
14/4/2021,203223,167525,35698
15/4/2021,213142,173929,39213
16/4/2021,224984,182592,42392
17/4/2021,237156,191878,45278
18/4/2021,244577,198368,46209
19/4/2021,253784,204861,48923
20/4/2021,264363,212256,52107
21/4/2021,272843,218280,54563
22/4/2021,281429,224566,56863
23/4/2021,289687,230436,59251
24/4/2021,299238,237654,61584
25/4/2021,304009,241453,62556
26/4/2021,313027,248297,64730
27/4/2021,323227,256198,67029
28/4/2021,331731,262813,68918
29/4/2021,340743,269799,70944
30/4/2021,349718,277125,72593
1/5/2021,355730,282295,73435
2/5/2021,358279,284559,73720
3/5/2021,363309,288525,74784
