date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,1536,1536,0
17/1/2021,1536,1536,0
18/1/2021,4817,4817,0
19/1/2021,5049,5049,0
20/1/2021,5094,5094,0
21/1/2021,5790,5790,0
22/1/2021,9609,9609,0
23/1/2021,13544,13544,0
24/1/2021,13544,13544,0
25/1/2021,13544,13544,0
26/1/2021,13544,13544,0
27/1/2021,14054,14054,0
28/1/2021,18848,18848,0
29/1/2021,22918,22918,0
30/1/2021,27734,27734,0
31/1/2021,27734,27734,0
1/2/2021,33434,33434,0
2/2/2021,39570,39570,0
3/2/2021,43926,43926,0
4/2/2021,48360,48360,0
5/2/2021,51555,51555,0
6/2/2021,54573,54573,0
7/2/2021,54573,54573,0
8/2/2021,58031,58031,0
9/2/2021,61271,61271,0
10/2/2021,66101,66101,0
11/2/2021,72191,72191,0
12/2/2021,79166,79166,0
13/2/2021,81957,81482,475
14/2/2021,81957,81482,475
15/2/2021,84294,82400,1894
16/2/2021,87132,84225,2907
17/2/2021,91805,87499,4306
18/2/2021,158939,90908,68031
19/2/2021,164024,92702,71322
20/2/2021,106973,94897,12076
21/2/2021,107197,95105,12092
22/2/2021,108690,96278,12412
23/2/2021,110279,97607,12672
24/2/2021,111699,98881,12818
25/2/2021,117764,100723,17041
