date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,2160,2160,0
17/1/2021,2160,2160,0
18/1/2021,3375,3375,0
19/1/2021,4414,4414,0
20/1/2021,4414,4414,0
21/1/2021,6847,6847,0
22/1/2021,9827,9827,0
23/1/2021,11647,11647,0
24/1/2021,11647,11647,0
25/1/2021,16173,16173,0
26/1/2021,16173,16173,0
27/1/2021,16331,16331,0
28/1/2021,22401,22401,0
29/1/2021,26634,26634,0
30/1/2021,26634,26634,0
31/1/2021,26634,26634,0
1/2/2021,26634,26634,0
2/2/2021,26634,26634,0
3/2/2021,26634,26634,0
4/2/2021,34475,34475,0
5/2/2021,41624,41624,0
6/2/2021,49419,49419,0
7/2/2021,49419,49419,0
8/2/2021,61035,61035,0
9/2/2021,74219,74219,0
10/2/2021,74219,74219,0
11/2/2021,93570,93570,0
12/2/2021,111470,111470,0
13/2/2021,129629,128822,807
14/2/2021,129629,128822,807
15/2/2021,147449,145600,1849
16/2/2021,162266,159765,2501
17/2/2021,162266,159765,2501
18/2/2021,181551,177795,3756
19/2/2021,195122,189840,5282
20/2/2021,207426,200695,6731
21/2/2021,207426,200695,6731
22/2/2021,219859,210544,9315
23/2/2021,228195,217910,10285
24/2/2021,228195,217910,10285
25/2/2021,243885,230494,13391
26/2/2021,257072,240817,16255
27/2/2021,257072,240817,16255
28/2/2021,257072,240817,16255
1/3/2021,268556,251276,17280
2/3/2021,280141,262045,18096
3/3/2021,280141,262045,18096
4/3/2021,299418,279250,20168
5/3/2021,318648,295633,23015
6/3/2021,339224,312827,26397
7/3/2021,339224,312827,26397
8/3/2021,364801,333595,31206
9/3/2021,392481,355149,37332
10/3/2021,392369,355348,37021
11/3/2021,393368,356152,37216
12/3/2021,393819,356564,37255
13/3/2021,436651,385625,51026
14/3/2021,436651,385625,51026
15/3/2021,478419,413985,64434
16/3/2021,520296,440949,79347
17/3/2021,520495,441129,79366
