date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,585,585,0
17/1/2021,687,687,0
18/1/2021,978,978,0
19/1/2021,1111,1111,0
20/1/2021,1454,1454,0
21/1/2021,1454,1454,0
22/1/2021,1923,1923,0
23/1/2021,2319,2319,0
24/1/2021,2319,2319,0
25/1/2021,2485,2485,0
26/1/2021,2485,2485,0
27/1/2021,2855,2855,0
28/1/2021,2855,2855,0
29/1/2021,3399,3399,0
30/1/2021,3987,3987,0
31/1/2021,3987,3987,0
1/2/2021,4373,4373,0
2/2/2021,4739,4739,0
3/2/2021,5872,5872,0
4/2/2021,6095,6095,0
5/2/2021,6874,6874,0
6/2/2021,8256,8256,0
7/2/2021,8334,8334,0
8/2/2021,9989,9989,0
9/2/2021,11078,11078,0
10/2/0201,13747,13747,0
11/2/2021,15944,15944,0
12/2/2021,19563,19563,0
13/2/2021,22417,22362,55
14/2/2021,22895,22726,169
15/2/2021,25771,25452,319
16/2/2021,29038,28579,459
17/2/2021,33525,32748,777
18/2/2021,36735,35834,901
19/2/2021,40019,38585,1434
20/2/2021,41926,40215,1711
21/2/2021,41926,40215,1711
22/2/2021,43597,41799,1798
23/2/2021,45401,43507,1894
24/2/2021,48232,46042,2190
25/2/2021,51177,48938,2239
26/2/2021,54965,52420,2545
27/2/2021,54965,52420,2545
28/2/2021,54965,52420,2545
1/3/2021,56458,53805,2653
2/3/2021,60396,57280,3116
3/3/2021,64089,60566,3523
4/3/2021,66423,62649,3774
5/3/2021,69755,65465,4290
6/3/2021,73414,68405,5009
7/3/2021,73494,68467,5027
8/3/2021,76829,70581,6248
9/3/2021,79030,72387,6643
10/3/2021,81412,73510,7902
11/3/2021,83002,74320,8682
12/3/2021,85654,75463,10191
13/3/2021,86691,76055,10636
14/3/2021,86691,76055,10636
15/3/2021,89878,77127,12751
16/3/2021,91730,77819,13911
17/3/2021,94382,78662,15720
18/3/2021,96405,79414,16991
19/3/2021,98913,80166,18747
20/3/2021,102179,81251,20928
21/3/2021,102358,81297,21061
22/3/2021,105281,82036,23245
23/3/2021,108093,83092,25001
24/3/2021,110782,83749,27033
25/3/2021,113040,84235,28805
26/3/2021,116224,85103,31121
27/3/2021,118168,85714,32454
28/3/2021,118222,85717,32505
29/3/2021,118291,85731,32560
30/3/2021,119573,86044,33529
31/3/2021,120838,86331,34507
1/4/2021,122535,86708,35827
2/4/2021,115544,83274,32270
3/4/2021,118645,84338,34307
4/4/2021,119351,84572,34779
5/4/2021,120672,84333,36339
6/4/2021,123203,85284,37919
7/4/2021,125612,86069,39543
8/4/2021,128096,86907,41189
9/4/2021,130961,88308,42653
10/4/2021,132204,88817,43387
11/4/2021,134396,90439,43957
12/4/2021,137679,92517,45162
13/4/2021,139978,94174,45804
14/4/2021,142931,96396,46535
15/4/2021,145490,97793,47697
16/4/2021,148635,99928,48707
17/4/2021,152135,102125,50010
18/4/2021,153124,102997,50127
19/4/2021,157711,106512,51199
20/4/2021,162117,109889,52228
21/4/2021,167554,114375,53179
22/4/2021,171785,117491,54294
24/4/2021,174263,119445,54818
25/4/2021,180379,124605,55774
