date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,2945,2945,0
17/1/2021,8834,8834,0
18/1/2021,16462,16462,0
19/1/2021,25908,25908,0
20/1/2021,33670,33670,0
21/1/2021,42947,42947,0
22/1/2021,51651,51651,0
23/1/2021,59226,59226,0
24/1/2021,61720,61720,0
25/1/2021,69027,69027,0
26/1/2021,73953,73953,0
27/1/2021,82039,82039,0
28/1/2021,88467,88467,0
29/1/2021,97126,97126,0
30/1/2021,105821,105821,0
31/1/2021,105821,105821,0
1/2/2021,112687,112687,0
2/2/2021,120745,120745,0
3/2/2021,133434,133434,0
4/2/2021,145928,145928,0
5/2/2021,157324,157324,0
6/2/2021,166408,166408,0
7/2/2021,166408,166408,0
8/2/2021,175027,175027,0
9/2/2021,185577,185577,0
10/2/0201,197392,197392,0
11/2/2021,211762,211762,0
12/2/2021,227542,227542,0
13/2/2021,247574,246420,1154
14/2/2021,247574,246420,1154
15/2/2021,269219,264283,4936
16/2/2021,290248,280892,9356
17/2/2021,309377,295338,14039
18/2/2021,329817,309692,20125
19/2/2021,350283,324537,25746
20/2/2021,370846,339686,31160
21/2/2021,370846,339686,31160
22/2/2021,385600,349527,36073
23/2/2021,400400,359063,41337
24/2/2021,414827,368678,46149
25/2/2021,429255,378411,50844
26/2/2021,445328,388896,56432
27/2/2021,445328,388896,56432
28/2/2021,445328,388896,56432
1/3/2021,480411,414032,66379
2/3/2021,522054,450651,71403
3/3/2021,588391,510361,78030
4/3/2021,669417,585353,84064
5/3/2021,761625,670563,91062
6/3/2021,847097,749180,97917
7/3/2021,847097,749180,97917
8/3/2021,957348,852767,104581
9/3/2021,1037824,925927,111897
10/3/2021,1124724,1005619,119105
11/3/2021,1205185,1078862,126323
12/3/2021,1298251,1162732,135519
13/3/2021,1384184,1240261,143923
14/3/2021,1384184,1240261,143923
15/3/2021,1499745,1347180,152565
16/3/2021,1606931,1443532,163399
17/3/2021,1718313,1544770,173543
18/3/2021,1840069,1655864,184205
19/3/2021,1964650,1768349,196301
20/3/2021,2086121,1878339,207782
21/3/2021,2086121,1878339,207782
22/3/2021,2238755,2019260,219495
23/3/2021,2343912,2115424,228488
24/3/2021,2438253,2203535,234718
25/3/2021,2537202,2297100,240102
26/3/2021,2645814,2398870,246944
27/3/2021,2751628,2498283,253345
28/3/2021,2751628,2498283,253345
29/3/2021,2871513,2611426,260087
30/3/2021,2952311,2684001,268310
31/3/2021,3031631,2757835,273796
1/4/2021,3114623,2835444,279179
2/4/2021,3101478,2829190,272288
3/4/2021,3151678,2871776,279902
4/4/2021,3186597,2901208,285389
5/4/2021,3205778,2907580,298198
6/4/2021,3239421,2935315,304106
7/4/2021,3292109,2976866,315243
8/4/2021,3402198,3062266,339932
