date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,15707,15707,0
17/1/2021,15707,15707,0
18/1/2021,29866,29866,0
19/1/2021,43559,43559,0
20/1/2021,46310,46310,0
21/1/2021,53988,53988,0
22/1/2021,84505,84505,0
23/1/2021,84505,84505,0
24/1/2021,84505,84505,0
25/1/2021,122851,122851,0
26/1/2021,122851,122851,0
27/1/2021,158193,158193,0
28/1/2021,187485,187485,0
29/1/2021,221994,221994,0
30/1/2021,243069,243069,0
31/1/2021,243143,243143,0
1/2/2021,266407,266407,0
2/2/2021,288245,288245,0
3/2/2021,301091,301091,0
4/2/2021,320668,320668,0
5/2/2021,344227,344227,0
6/2/2021,354000,354000,0
7/2/2021,354000,354000,0
8/2/2021,377608,377608,0
9/2/2021,404001,404001,0
10/2/2021,427042,427042,0
11/2/2021,453303,453303,0
12/2/2021,485054,485054,0
13/2/2021,515117,512772,2345
14/2/2021,516952,514570,2382
15/2/2021,555120,545299,9821
16/2/2021,556450,546433,10017
17/2/2021,573746,557880,15866
18/2/2021,607535,583613,23922
19/2/2021,650976,609987,40989
20/2/2021,683057,633271,49786
21/2/2021,689164,639252,49912
22/2/2021,743590,673939,69651
23/2/2021,801677,720569,81108
24/2/2021,886491,787013,99478
25/2/2021,993106,872999,120107
26/2/2021,1106181,961416,144765
27/2/2021,1106181,961416,144765
28/2/2021,1106181,961416,144765
1/3/2021,1124158,975574,148584
2/3/2021,1192882,1025696,167186
3/3/2021,1279958,1090793,189165
4/3/2021,1376553,1165605,210948
5/3/2021,1487060,1253831,233229
6/3/2021,1580799,1332857,247942
7/3/2021,1591868,1343071,248797
8/3/2021,1730022,1460507,269515
9/3/2021,1889064,1596083,292981
10/3/2021,2025599,1712338,313261
11/3/2021,2092262,1768499,323763
12/3/2021,2291486,1940615,350871
13/3/2021,2421424,2050790,370634
14/3/2021,2435983,2063801,372182
15/3/2021,2688755,2286467,402288
16/3/2021,2886955,2462432,424523
17/3/2021,3017035,2577103,439932
18/3/2021,3149350,2691400,457950
19/3/2021,3482448,3000505,481943
20/3/2021,3630910,3130942,499968
21/3/2021,3649705,3147921,501784
